model,val_accuracy,val_loss,sensitivity,specificity,jaccard_index
unet,0.8374864459037781,0.004781605675816536,0.0,1.0,0.0009700137306936085
unet++,0.8374864459037781,0.004874683916568756,0.0,1.0,0.0009837574325501919
